,규모,면적,신축년도,용도지역,주소
442,지상18/지하1,"6,891㎡",1993년 01월 27일,3종일주,광주광역시 북구 매곡동 178-7
443,지상1/지하0,"4,517㎡",1991년 03월 13일,3종일주,광주광역시 북구 매곡동 214-12
444,지상2/지하1,"4,194㎡",1991년 03월 23일,3종일주,광주광역시 북구 매곡동 214-16
445,지상9/지하0,"3,656.3㎡",2014년 06월 24일,2종일주,광주광역시 북구 매곡동 493
446,지상15/지하1,"2,712㎡",2003년 08월 12일,2종일주,광주광역시 북구 매곡동 182-3
447,지상1/지하0,"5,081㎡",1997년 05월 30일,3종일주,광주광역시 북구 매곡동 57
448,지상20/지하1,"5,139㎡",1991년 11월 01일,3종일주,광주광역시 북구 매곡동 214-1
449,지상3/지하0,"6,056㎡",1995년 04월 21일,3종일주,광주광역시 북구 매곡동 280-1
450,지상1/지하0,"9,755㎡",2008년 04월 08일,2종일주,광주광역시 광산구 도산동 1081
451,지상9/지하1,"4,902㎡",1993년 11월 30일,2종일주,광주광역시 광산구 도산동 840-1
452,지상1/지하0,"17,738.3㎡",2016년 12월 07일,2종일주,광주광역시 광산구 도산동 1314
453,지상13/지하1,"11,981㎡",1997년 08월 20일,2종일주,광주광역시 광산구 도산동 1077-1
454,지상12/지하1,"3,815.5㎡",1997년 01월 20일,2종일주,광주광역시 광산구 도산동 1304-1
455,지상13/지하2,"2,295.7㎡",1998년 10월 29일,2종일주,광주광역시 광산구 도산동 1298-3
456,지상10/지하1,"4,235㎡",1994년 09월 16일,2종일주,광주광역시 광산구 도산동 1138-1
457,지상1/지하0,"3,091.4㎡",1997년 08월 25일,2종일주,광주광역시 광산구 도산동 1281-5
458,지상3/지하0,"3,943㎡",1990년 07월 31일,2종일주,광주광역시 광산구 도산동 1138-2
459,지상11/지하1,"1,280.5㎡",1995년 11월 08일,2종일주,광주광역시 광산구 도산동 1297-3
460,지상12/지하1,"3,708.4㎡",2016년 06월 24일,2종일주,광주광역시 광산구 도산동 1313
461,지상15/지하1,"5,665㎡",2001년 12월 13일,2종일주,광주광역시 광산구 도산동 849
462,지상14/지하1,"4,456㎡",2002년 02월 07일,2종일주,광주광역시 광산구 도산동 826
463,지상15/지하1,"38,960㎡",1997년 07월 04일,3종일주,광주광역시 북구 삼각동 533
464,지상2/지하1,"4,073㎡",1997년 04월 15일,3종일주,광주광역시 북구 삼각동 171
465,지상1/지하0,"3,218㎡",2001년 03월 26일,3종일주,광주광역시 북구 삼각동 672
466,지상9/지하0,"3,645㎡",1990년 10월 29일,3종일주,광주광역시 북구 삼각동 755-22
467,지상15/지하1,"7,671㎡",1990년 11월 20일,3종일주,광주광역시 북구 삼각동 755-17
468,지상20/지하1,"11,160㎡",1994년 06월 29일,3종일주,광주광역시 북구 삼각동 637
469,지상2/지하1,"9,302㎡",1995년 03월 21일,3종일주,광주광역시 북구 삼각동 755-16
470,지상15/지하1,"30,080.3㎡",2006년 04월 26일,3종일주,광주광역시 북구 연제동 11
471,지상15/지하1,"28,743㎡",2007년 12월 17일,2종일주,광주광역시 북구 용두동 1089
472,지상5/지하0,"4,879㎡",1985년 03월 05일,일반상업,광주광역시 북구 용두동 296-1
473,지상18/지하1,"18,271㎡",1998년 06월 13일,3종일주,광주광역시 북구 용두동 330
474,지상5/지하1,311㎡,1989년 10월 31일,2종일주,광주광역시 북구 용두동 289
475,지상11/지하1,"28,280㎡",2000년 11월 24일,2종일주,광주광역시 광산구 소촌동 286-1
476,지상14/지하1,"1,697㎡",2016년 08월 22일,2종일주,광주광역시 광산구 소촌동 185-7
477,지상1/지하0,"16,354㎡",2004년 03월 29일,3종일주,광주광역시 광산구 신촌동 826-1
478,지상15/지하0,"6,618㎡",2003년 11월 26일,2종일주,광주광역시 광산구 신촌동 844
479,지상12/지하1,"6,413㎡",1997년 10월 08일,2종일주,광주광역시 광산구 운수동 65-50
480,지상2/지하0,"6,888㎡",2002년 02월 01일,2종일주,광주광역시 광산구 신촌동 709-2
481,지상5/지하1,"2,387㎡",1982년 12월 29일,2종일주,광주광역시 광산구 신촌동 1061-3
482,지상3/지하0,"5,028㎡",1982년 12월 31일,2종일주,광주광역시 북구 운암동 1120-2
483,지상3/지하1,"1,332㎡",1982년 11월 22일,1종일주,광주광역시 북구 운암동 154-38
